approach,,,,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,minimize,minimize,minimize,minimize,minimize,minimize,minimize,minimize_scalar,minimize_scalar,minimize_scalar,root,root
method,,,,bisect,brentq,brenth,ridder,toms748,secant,newton,L-BFGS-B,BFGS,TNC,SLSQP,Nelder-Mead,Powell,COBYLA,Brent,Bounded,Golden,hybr,lm
n,ndraw,idx,bound,,,,,,,,,,,,,,,,,,,
"(1,)",5,0,lb,-0.7602386176586151,-0.7602533484475275,-0.7602832636500674,-0.7603234898433926,-0.7602737513240845,-0.7602737413531186,-0.7602737432060998,-0.7871451904348978,-1.5076382765653935,-4.069832029458676,-1.078523233178402,-551.7673679356949,-0.7602737432016022,-0.7433982229976787,-0.7602737429709346,-52786.40343510736,-0.7602737447564977,-0.7602737432061702,-0.760273743206168
"(1,)",5,0,ub,4.804786294698715,4.80476820128036,4.804767731246671,4.804719639877635,4.804767880867048,4.804767874693713,4.804767880861174,4.811175738729463,4.681767425649357,4.8047406426822885,6.066044089358019,4.804764153305737,4.8047678808632,4.804784128265462,4.804767881466062,23606.79810360216,4.804767885064677,4.80476787764892,4.804767880861215
"(1,)",5,1,lb,-0.1075677573680877,-0.107620489922004,-0.1076324403310221,-0.1076671790280774,-0.1076206101513909,-0.1076205909457322,-0.1076206101513847,-81.50796650629677,-0.0231068922199152,-0.0903298799348348,0.0549939577151496,-246.03154909126997,-0.107620610151389,-0.0648874358709361,-0.1076206099348873,-52786.40343510736,-0.1076206101874095,-0.1076206099856858,-0.1076206101513897
"(1,)",5,1,ub,9.97902825474739,9.979064786102558,9.979062754014926,9.979106276880962,9.97906521191383,9.979065211820243,9.979065211299185,10.013751708302394,10.458100768085476,9.980898456686909,9.12365200762382,9.979084408214828,9.979065211875293,9.97906320509191,9.97906523784233,23606.79810360216,9.979065222463504,9.979065211923448,9.979065211870044
"(1,)",5,2,lb,-322.42005690932274,-322.41998214191005,-322.41998390117345,-322.419933446055,-322.4199834413428,-322.41998343422466,-322.41841391674285,-310.8357911647425,1.2583240394246114,-319.982223559882,1.3110284998311266,-322.4199995548614,-322.4199834353442,-142.75113739320076,-322.4199832263168,-52786.40343510736,-322.41998302115263,-322.4199834488047,-267.35600447383405
"(1,)",5,2,ub,-2.5087036192417145,-2.508724343625844,-2.50872432039045,-2.5087725907418257,-2.5087243042699567,-2.5087243043910226,-2.5087243045702925,-2.513451000362073,0.3153676701069541,-2.507679692824599,1.6079648652019036,-2.508692714886441,-2.508724304570462,-2.5083288720652805,-2.508724303578548,23606.79810360216,-2.508724307515639,-2.50872428461219,-2.508724304570405
"(1,)",5,3,lb,-1.0536052286624908,-1.0536474436043028,-1.0536576520375798,-1.0537056326629552,-1.05365776724102,-1.0536577623218932,-1.0536577670425715,-1.0607343087867585,-1.9352353652295815,-8.104309772757375,-1.6500320502544952,-147.26989124795278,-1.053657767241018,-1.0350072839827105,-1.0536577677298764,-52786.40343510736,-1.053657767589256,-1.0536577672410186,-1.0536577672410183
"(1,)",5,3,ub,3.870856016874314,3.870878234792779,3.87086023740417,3.870827831133725,3.870877757298043,3.8708777564558816,3.870877751343365,3.8668451798347783,3.884757141258196,3.871034491828584,4.725269269744596,3.8708745506657047,3.870877756745666,3.870926514559536,3.870877749528724,23606.79810360216,3.870877760199574,3.8708777567443824,3.8708777567443793
"(1,)",5,4,lb,-1.7114914953708649,-1.7115832849634145,-1.711552659993144,-1.7116102746602475,-1.7115602798906435,-1.7115602758376105,-1.711560278984714,-46.41160930043841,-2.155041719685594,-1.7125684296465216,-2.0188550886377183,-60.04266082726932,-1.7115602798906393,-1.6700105729971653,-1.71156028017368,-52786.40343510736,-1.7115602825865293,-1.7115602798927954,-1.7115602798906395
"(1,)",5,4,ub,2.790149301290512,2.790162946243354,2.7901792940173387,2.790129960150564,2.790179970293237,2.7901799525075406,2.7901799582184426,2.7895302352555187,2.7889926600277968,2.790273087544624,2.908619619985876,2.79018357707605,2.7901799582184594,2.7902277099954125,2.790179957108141,23606.79810360216,2.7901799479150835,2.7901799628217723,2.7901799582184497
"(2, 2, 2)",1,0,lb,-3.962498158216477,-3.962452337610373,-3.962459422886623,-3.962456059130076,-3.96245234386019,-3.962452343822481,-3.9624523438596895,-1433.161661680677,-8717.78258396516,-3.189908946178778,-817.9069311065485,-101.0663620596718,-3.962452343859688,-4.018637913310789,-3.962452327020377,-52786.40343510736,-3.962452347792391,-16.109420037884867,-3.81990957764357
"(2, 2, 2)",1,0,ub,6.712879985570908,6.712936389965384,6.712937148803289,6.712986378903547,6.7129363946290255,6.712936394008739,6.712936394346347,6.677658633067448,6.403413479872982,6.713774521442676,6.035311360556984,6.72862966382738,6.712936394293712,6.712721404059649,6.712936404065875,23606.79810360216,6.7129363748686846,6.712936394347243,6.71293639434594
"(2, 2, 2)",1,1,lb,-2.856459468603134,-2.8563902527246965,-2.856370832914877,-2.856406290557737,-2.8563906078676604,-2.856390281104094,-2.856390419125396,-2642.0077053096443,-4424.160623318141,-2.6360903635083024,-412.9519225654841,-24.009907397089123,-2.8563904195464533,-2.888732777186878,-2.856390422125641,-52786.40343510736,-2.8563904179808404,-2.8582747259881507,-2.8563903525996124
"(2, 2, 2)",1,1,ub,3.3820979297161102,3.3821167489695103,3.382114113953129,3.382063176369769,3.3821131333687777,3.382113130180932,3.3821131301940137,3.3605533506980643,7.800140226264942,3.3818409844540924,7.271291502513685,3.328420260569338,3.382113130142081,3.38225752809292,3.382113136660798,23606.79810360216,3.382113130306122,3.3821131302078777,3.3821131301935847
"(2, 2, 2)",1,2,lb,-90678.95216867328,-90678.94614638956,-90678.94348185684,-90678.95242427124,-90678.95262992715,-90678.9502325739,-26491.42423292976,-52485.80402958062,-62196.227395121605,-144.94119888630118,-582.2569355848073,7.8371204252743425,-90678.9436114447,-17.688869457461088,-90678.9561447543,-90678.95188817762,-90678.95114158368,-64976.43726929054,-912.1415166090468
"(2, 2, 2)",1,2,ub,-622.3061122000217,-622.3060204321278,-622.3060203516338,-622.3059708035048,-622.3060200976681,-622.3060200583591,-538.3239431365345,-13.847665161179442,-0.9284891578474828,-607.0991177918347,-0.8776535383610898,-11.82049204819733,-622.3060204091926,-1.1793272910063548,-622.3060206664696,23606.79810360216,-622.3060189484529,-622.3060204484098,-36.01405876365918
"(2, 2, 2)",1,3,lb,-17.221178859472275,-17.221251915577817,-17.221251535797833,-17.221203443174435,-17.22125157475171,-17.22125155926898,-17.221251574751903,-5610.936630144233,-10477.58975781469,-8.668611654677868,-893.4883392738104,-17.17674715155922,-17.221251574751875,-17.23371847983251,-17.22125149185804,-52786.40343510736,-17.22125163803151,-93.15519547156129,-15.171323763159256
"(2, 2, 2)",1,3,ub,0.9027309715747832,0.9027565023143914,0.9027581934969464,0.9027116175898904,0.9027603208468662,0.9027601828212116,0.902760320846487,0.9023301439094809,1.862009093253378,0.9026425322838256,1.6979275706294852,32.14445045969545,0.9027603208242024,0.9028322409184052,0.9027603207929648,23606.79810360216,0.9027603215010408,0.9027603208464944,0.9027603208464936
"(2, 2, 2)",1,4,lb,-3.8533471524715424,-3.853386067453804,-3.853379860998442,-3.8533302228919872,-3.853379968691156,-3.853379835441322,-3.853379968593915,-2799.53714315242,-13928.126224707114,-5.830686016314078,-1349.1913066836942,-9.50521229156104,-3.853379968588959,-3.859398468831808,-3.853379967602083,-52786.40343510736,-3.853379972824412,-15.429930528186365,-3.6767424116307454
"(2, 2, 2)",1,4,ub,2.1976418793201447,2.197711134727104,2.197698156231625,2.197748160377388,2.1976981620335216,2.1976981598292107,2.1976981610526227,2.194697165138233,2.1170979844082662,2.195644692222011,2.037767556540273,2.190864027595528,2.197698161040205,2.197790393516428,2.197698165214581,23606.79810360216,2.197698156573264,2.1976981605876857,2.197698161052625
"(2, 2, 2)",1,5,lb,-137.22917065024376,-137.22915880684369,-137.22917756732298,-137.22912757067292,-137.22917756738968,-137.22917756736874,-137.22860027257445,-11503.945955710044,-14581.667882399874,-30.317429507647816,-409.150252767176,-136.6602960364176,-137.2291775671885,-113.55428929502052,-137.22917755617328,-52786.40343510736,-137.22917730008032,-1426.6347631656236,-99.65043308730156
"(2, 2, 2)",1,5,ub,0.7375143468379974,0.7375984272347913,0.7375979757861446,0.7375492048677418,0.7375978062651405,0.7375978060848172,0.7375978060803025,0.7416898798847238,1.6784938490251502,0.7402536275996492,1.124456561609667,0.6728676925124075,0.7375978060528363,0.7376184286493883,0.7375978066260196,23606.79810360216,0.7375978073167805,0.737597806080356,0.7375978060803542
"(2, 2, 2)",1,6,lb,-29.13540229201317,-29.135473154531397,-29.13546997592494,-29.13552130433145,-29.135471330617257,-29.135471330594413,-29.135412415667503,-9654.504399445856,-7499.754438318534,-13.19461603035978,-578.0069745869076,-29.18101564740424,-29.13547133059846,-29.05818952416457,-29.13547141521856,-52786.40343510736,-29.13547131371681,-131.54798013561776,-25.496090108560143
"(2, 2, 2)",1,6,ub,7.63842836022377,7.638519236496529,7.638518339159843,7.638468975933637,7.638517914956502,7.638517914943992,7.638517914956458,7.642940876935396,8.261491612250321,7.63938459279589,7.333421489058494,7.547501967961722,7.638517914891357,7.638151552057893,7.638517923082469,23606.79810360216,7.638517908250939,7.638517914959837,7.638517914956496
"(2, 2, 2)",1,7,lb,-12.55599781870842,-12.555950408598584,-12.555950968062437,-12.55600079596094,-12.555950972872894,-12.555950966690832,-12.555950968271327,-4096.876145232009,-10518.63139864403,-6.6884337061095405,-904.9721531679596,-12.579624868745462,-12.55595096827133,-12.619604639081304,-12.555950966441111,-52786.40343510736,-12.5559509811584,-39.22897463267976,-11.40527961622187
"(2, 2, 2)",1,7,ub,1.3834796845912931,1.3835734087165463,1.3835701048137323,1.3836189765751663,1.3835701967529452,1.38357002869418,1.3835701614540852,1.3921532827586307,2.646847961409452,1.3834656049067997,2.4866759008500963,1.394660581768898,1.3835701614286895,1.3835034817509642,1.3835701608234785,23606.79810360216,1.3835701634062292,1.383570161454453,1.3835701614544538
"(3, 2)",1,0,lb,-22.5861556828022,-22.58610503392703,-22.58611147716137,-22.586054561749464,-22.58610456769815,-22.58610455116361,-22.58608665550774,-4944.394957630781,-49.52303657297962,-7.3360634190410146,-45.02388090008135,-22.307688233711417,-22.58610455309314,-22.42304013399226,-22.586104547394093,-52786.40343510736,-22.58610457559382,-22.586366608225024,-21.03562457388566
"(3, 2)",1,0,ub,20.13547345995903,20.135474028929195,20.135474110055863,20.135424127511584,20.135474287638417,20.13547411002181,20.135465018362883,20.040020374221392,17.348804103645797,19.047745262150983,18.148793571761114,20.135360881425377,20.135474110172737,20.043042079848664,20.135474115243863,23606.79810360216,20.135474135295524,20.13547411005969,20.135409557280216
"(3, 2)",1,1,lb,-2.622324973344803,-2.6223763176758643,-2.622373826686558,-2.622325608690959,-2.622375610070354,-2.6223756083262155,-2.6223756063472967,-15.73873646509952,-95.83079277881762,-1.0607755610766978,-72.23972601665098,-2.603991760411992,-2.622375608558159,-2.6170173527600697,-2.622375609602202,-52786.40343510736,-2.622375606546287,-2.6223756074791456,-2.6223756085580674
"(3, 2)",1,1,ub,1.8465332686901093,1.84660122823382,1.8466121418245085,1.8466220576181451,1.8466174311337884,1.846617430061524,1.8466174306983203,5.90291955711613,27.473153670513845,5.784305976017097,22.467506359309343,1.8466250596496845,1.8466174310872168,1.8464780991722232,1.846617430258087,23606.79810360216,1.846617434145374,1.8466174311337191,1.8466174311337191
"(3, 2)",1,2,lb,-71494.85209956765,-71494.85673722965,-71494.86006878348,-71494.85946591485,-71494.85337806771,-71494.86219207151,-23956.069413854468,-46153.1420930104,-12.058006161906189,-105.26638359753844,-10.97043236592562,1.713318150131696,-71494.8661052628,-27.397882916363308,-71494.85770284382,-71494.85451362535,-71494.86545536449,-70552.74891766987,-902.6854590838534
"(3, 2)",1,2,ub,-489.5602352917194,-489.560255909664,-489.5602560936446,-489.560306040386,-489.5602566344946,-489.5602566817522,-450.97991295257367,-5.464440767899731,-1.103097682426305,-2.464539514200636,-1.044968771573398,11.533565904710766,-489.5602631806559,-2.922579961394458,-489.5602554924573,23606.79810360216,-489.5602574295022,-489.5602562990522,-38.10939091196338
"(3, 2)",1,3,lb,-9.27792862057686,-9.277846798029437,-9.27784588852696,-9.277883441270244,-9.277841124510736,-9.277841123734945,-9.277841123650845,-5161.879826553824,-191.37459353629052,-4.678271466301103,-169.91888746109595,-39.29586885853799,-9.277841123743508,-9.310604259249883,-9.277841073933448,-52786.40343510736,-9.277841134336017,-9.27774976264246,-8.67915143251649
"(3, 2)",1,3,ub,1.1694617569446564,1.169370395750639,1.1693720651502149,1.1693308688206747,1.16937040187719,1.1693703994928042,1.1693703995222788,1.2060925401229,20.9316399611907,1.122457364376828,21.590456138259345,6.751308969365514,1.1693703995229097,1.1693161603346425,1.1693704068681872,23606.79810360216,1.1693704021175808,1.1693703995229117,1.1693703995229112
"(3, 2)",1,4,lb,-51.36961117386818,-51.36953594796962,-51.36952375206518,-51.36952252254356,-51.36952252932317,-51.369522522169305,-51.36937661492775,-9880.570721910251,-54.135746765579846,-28.79892458718712,-49.3358929252012,-52.59414571969856,-51.36952252217122,-50.56078711928627,-51.369522670473806,-52786.40343510736,-51.369522624070086,-51.37969373464724,-45.52370385472138
"(3, 2)",1,4,ub,7.909256964921951,7.909266670925379,7.909266439333104,7.909216755051637,7.909266674386345,7.9092666414403805,7.909266674386325,8.465956230278872,7.277505376993753,7.915131517220693,6.8968056270927285,7.908814585823846,7.909266674386335,7.90831529582164,7.909266649687596,23606.79810360216,7.909266675931719,7.90926667438635,7.909266674386338
"(3, 2)",1,5,lb,-58.30107256770134,-58.30116289957684,-58.30116293444449,-58.30111293627181,-58.30116293464747,-58.30116293472032,-58.30096010609599,-6633.767577334625,-103.81460497981234,-66.44430768773958,-94.79491211286656,-58.166201898114366,-58.301162934662166,-56.75020940697609,-58.301163278477546,-52786.40343510736,-58.30116286082172,-9473.771430561146,-46.5331983952526
"(3, 2)",1,5,ub,-1.0340474545955658,-1.0341219616477129,-1.0341220989525284,-1.0341567123574755,-1.0341222324226087,-1.0341221789766202,-1.0341222325916737,-1.03343704902319,0.5013102248802417,-1.1690486760154375,0.8187875800516031,-1.034127470547264,-1.034122232591656,-1.0342687490016036,-1.0341222358346125,23606.79810360216,-1.0341222300876742,-1.034122232591669,-1.0341222325916528
"(5,)",1,0,lb,0.0896863639354705,0.0897658647973157,0.0897780327020472,0.0898263914598277,0.0897763931583138,0.0897764000970419,0.0897763931591318,-9.87748423155927,0.213544687698243,0.2707735177133832,-12554.422558462527,-202.65722385847005,0.0897763931583292,0.090193858180215,0.0897763931670665,-52786.40343510736,0.0897763932058801,-105.49599528633073,0.0925222310755252
"(5,)",1,0,ub,2.299901098012924,2.299871572537437,2.2998728496650536,2.2998213688260365,2.29987135142531,2.299871212694513,2.299871351364844,2.311917109035249,6.576484728756864,2.2940833776382323,7.852844895523724,417.7135004624333,2.299871351358595,2.303392595275466,2.299871351219909,23606.79810360216,2.2998713587777724,542.2629235674033,2.29987135136496
"(5,)",1,1,lb,-14.222878962755203,-14.222901287378129,-14.222902573211078,-14.222853142790658,-14.22290314497114,-14.222903136016626,-14.222903141868173,-490.6003508728483,-380.277985015031,-22.08427839432252,-4841.999952579387,-14.222901185487729,-14.222903142012834,-14.247677073266845,-14.22290317934248,-52786.40343510736,-14.222903202354695,-14.228938966153242,-13.959925519825047
"(5,)",1,1,ub,38.67493942379952,38.67492153158204,38.67491909514872,38.67495912444302,38.67491920671931,38.674919206718975,38.6748179499182,41.65047577812577,38.83831067139605,36.67602018249909,28.921899256904577,38.674916416700185,38.67491920631504,32.475674386100394,38.67491920839202,23606.79810360216,38.67491922241227,38.608127849906346,38.54149222271058
"(5,)",1,2,lb,-22054.75876107812,-22054.75881920698,-22054.758815022244,-22054.75797233059,-22054.758556917117,-22054.757797689752,-12716.481250874172,-16126.951592178815,-21777.06203981264,-713.7644551212019,-3347.1572284279805,7.562261629368036,-22054.758883462837,-57.02335766174409,-22054.75846344186,-22054.758741040627,-22054.757915110626,-22461.81407534102,-826.4201783088521
"(5,)",1,2,ub,-151.6849733889103,-151.68501631506814,-151.6850337894896,-151.6849875599788,-151.68503748283763,-151.6850375182186,-151.64757245601027,-15.402028517542911,-3.782957165272574,-5.050541948563454,-0.6873285738221451,21.086178275105887,-151.685037516675,0.6897402610659299,-151.68503804550207,23606.79810360216,-151.6850371546771,-151.89586704203518,-40.98088398391756
"(5,)",1,3,lb,-16.605574637651443,-16.605641151311094,-16.605649777517314,-16.60559980715316,-16.605649780906525,-16.605649780862308,-16.605649780208115,-3789.961046135643,-819.4198327173598,-19.677830726303483,-28497.253069563056,-241.3296949737488,-16.605649780906738,-16.585870919402343,-16.605649857477218,-52786.40343510736,-16.605649779725336,-16.60564574650271,-14.733705782344249
"(5,)",1,3,ub,2.789963036775589,2.7898682595611928,2.789885024507316,2.7898347605211717,2.789884512536309,2.789884512517839,2.7898845125335185,6.700822609271129,35.429134066601044,11.97710927340523,32.01467132588438,219.55313013986884,2.789884512488594,2.788873474480705,2.789884512317121,23606.79810360216,2.7898845128357888,2.7899935549039165,2.78988451253409
"(5,)",1,4,lb,-20.69687470793724,-20.69688221158189,-20.69688702459192,-20.696899024671453,-20.696882212184413,-20.69688221159724,-20.69687378855272,-3219.211155421655,-1167.6785232322147,-9.199997033322507,-33528.362612551726,-187.047993312307,-20.69688221218395,-20.60151630316571,-20.69688210698668,-52786.40343510736,-20.69688227273849,-20.710070531878078,-17.175914350801964
"(5,)",1,4,ub,2.5945715606212616,2.594646941207911,2.594649656483924,2.594599890799292,2.594649843623825,2.5946496856450274,2.594649843533876,2.600588622457997,13.409961506038906,2.469860648844233,14.02889906733396,58.496535127976045,2.594649843602275,2.592807983464421,2.5946498551420465,23606.79810360216,2.594649843036535,2.594649588746261,2.5946498436236896
